index,pg,intc
1,87.849998,28.540001
2,88.360001,27.82
3,89.459999,28.6
4,88.230003,29.08
5,89.75,28.52
6,88.660004,29.5
7,88.349998,29.24
8,88.849998,29.27
9,89.220001,29.469999
10,90,29.389999
11,89.059998,29.73
12,88.540001,29.77
13,88.57,29.709999
14,88.239998,29.02
15,88.43,29.16
16,87.830002,28.67
17,87.449997,28.74
18,85.540001,28.48
19,84.93,28.809999
20,84.330002,28.76
21,84.099998,29.24
22,86.970001,30.139999
23,87.400002,30
24,86.580002,30.51
25,86.839996,31.209999
26,86.800003,31.74
27,86.849998,32.32
28,86.739998,32.52
29,86.599998,32.139999
30,85.080002,32.209999
31,86.559998,32.040001
32,87.459999,32.799999
33,85.93,32.75
34,82.959999,33.040001
35,83.580002,33.59
36,83,33.439999
37,83.620003,33.369999
38,83.190002,34.400002
39,83.07,34.900002
40,82,34.59
41,82.639999,34.470001
42,82.760002,34.709999
43,82.68,34.029999
44,83.459999,33.860001
45,83.07,34.110001
46,82.889999,34.310001
47,82.459999,34.150002
48,81.860001,34
49,82.400002,33.84
50,82.989998,33.349998
51,82.910004,33.209999
52,84.18,32.860001
53,83.5,32.400002
54,84.370003,32.110001
55,85.129997,32.099998
56,85.18,32.639999
57,84.370003,33.16
58,84.68,34.299999
59,84.68,34.66
60,84.709999,34.48
61,84.57,34.360001
62,84.279999,34.450001
63,84.470001,34.459999
64,84.959999,34.77
65,84.599998,35.09
66,84.07,34.830002
67,84.349998,34.040001
68,84.080002,34.939999
69,84.199997,34.990002
70,84.5,34.75
71,85.059998,34.810001
72,85.029999,34.77
73,84.400002,34.27
74,83.489998,34.470001
75,83.75,35.18
76,83.839996,35.299999
77,84.010002,34.91
78,85.209999,33.869999
79,84.93,34.240002
80,84.699997,34.73
81,87.449997,35
82,86.959999,34.98
83,87.860001,34.93
84,87.160004,35.439999
85,86.599998,34.990002
86,86.720001,34.450001
87,86.75,33.990002
88,87.599998,33.830002
89,87.330002,33.080002
90,87.760002,31.84
91,87.410004,31.51
92,87.400002,32.060001
93,88.010002,32.68
94,88.330002,31.91
95,88.669998,32.740002
96,87.970001,29.76
97,88.309998,29.799999
98,87.860001,29.59
99,91.120003,29.66
100,90.790001,29.93
101,91.089996,29.6
102,91.669998,29.940001
103,91.440002,29.809999
104,91.129997,29.969999
105,91.050003,31.02
106,90.889999,30.82
107,91.07,29.799999
108,91.660004,29.34
109,90.910004,29.77
110,90.5,29.040001
111,90.370003,28.82
112,90.290001,28.809999
113,90.139999,28.23
114,90.339996,28.219999
115,91.07,28.639999
116,91.309998,28.780001
117,91,29.469999
118,91.400002,29.42
119,91.440002,28.709999
120,91,29.35
121,91.220001,28.799999
122,91.190002,29.190001
123,90.989998,29.620001
124,90.769997,29.799999
125,90.57,29.59
126,90.489998,30.370001
127,90.760002,30.540001
128,90.599998,30.58
129,90.199997,30.629999
130,89.849998,30.940001
131,89.68,30.559999
132,89.910004,30.870001
133,89.970001,31.25
134,89.400002,31.76
135,89.230003,31.43
136,89.489998,31.65
137,89.800003,31.690001
138,90.309998,31.98
139,90.029999,32.68
140,90.389999,32.34
141,90.800003,32.32
142,89.599998,32
143,89.330002,31.879999
144,88.620003,31.9
145,89.550003,32.380001
146,90,32.709999
147,87.739998,32.349998
148,87.690002,32.450001
149,87.330002,32
150,87.089996,31.9
151,86.220001,32.080002
152,86.43,31.549999
153,86.449997,31.629999
154,86.5,31.67
155,86.550003,31.860001
156,86.400002,32.130001
157,86.489998,31.799999
158,86.169998,31.459999
159,86.190002,31.65
160,86.330002,31.6
161,86.239998,32
162,86.260002,31.969999
163,85.870003,31.639999
164,86.239998,31.389999
165,86.209999,31.4
166,86.080002,31.75
167,86.5,31.110001
168,86.860001,30.280001
169,87.25,30.610001
170,87.400002,30.360001
171,88.089996,29.85
172,88.129997,29.9
173,88.589996,30.040001
174,88.739998,29.799999
175,88.800003,30.139999
176,88.769997,30.059999
177,87.849998,29.76
178,88.160004,29.91
179,88.239998,30.389999
180,88.059998,29.98
181,88.440002,29.99
182,89.379997,29.629999
183,89.660004,30.15
184,89.860001,30.23
185,89.629997,31.059999
186,89.400002,31.389999
187,89.029999,31.49
188,89.419998,31.57
189,89.360001,31.59
190,88.610001,31.66
191,88.370003,31.76
192,86.989998,31.620001
193,87.150002,31.68
194,87.739998,31.879999
195,87.669998,31.889999
196,87.370003,31.940001
197,87.650002,32.040001
198,87.089996,32.169998
199,86.769997,32.139999
200,86.959999,31.610001
201,86.699997,31.690001
202,87.099998,31.76
203,87.550003,32.169998
204,88.639999,32.32
205,88.349998,32.290001
206,88.599998,32.990002
207,88.610001,31.549999
208,88.18,30.719999
209,89.139999,31.190001
210,89.300003,31.93
211,90.68,32.799999
212,90.209999,32.75
213,90.82,32.68
214,91.099998,32.970001
215,91.040001,33.200001
216,90.860001,34
217,90.669998,34.380001
218,91.440002,34.939999
219,91.580002,35.009998
220,91.919998,35.200001
221,91.739998,35.07
222,91.339996,35.049999
223,91.650002,35.150002
224,92.199997,35.689999
225,92.440002,34.27
226,92.07,34.66
227,92.470001,34.689999
228,92.860001,35.09
229,92.790001,34.830002
230,92.440002,34.77
231,92.269997,34.860001
232,92.510002,34.849998
233,92.470001,34.560001
234,92.32,34.25
235,91.870003,34.580002
236,92.269997,34.98
237,92.529999,35.040001
238,92.720001,34.919998
239,92.720001,34.529999
240,92.970001,34.68
241,92.839996,34.57
242,93.989998,34.91
243,93.510002,35.209999
244,93.550003,35.02
245,93.550003,34.970001
246,93.269997,35.240002
247,93.150002,35.360001
248,94.169998,35.400002
249,94.400002,35.150002
250,92.639999,35.09
251,92.239998,35.259998
252,92.720001,35.549999
253,92.650002,35.700001
254,90.870003,35.889999
255,90.889999,36.02
256,90.980003,36.080002
257,91.769997,36.57
258,92.120003,36.459999
259,92.419998,36.439999
260,92.029999,35.439999
261,92.330002,36.080002
262,92.120003,35.610001
263,91.620003,35.619999
264,91.459999,36.560001
265,92.150002,37.669998
266,93.040001,37.16
267,93.139999,37.139999
268,92.800003,37.450001
269,92.769997,37.549999
270,91.589996,37.189999
271,88.25,36.650002
272,87.300003,37.18
273,86.980003,37.439999
274,86.860001,37.32
275,87.5,37.75
276,87.040001,37.66
277,86.269997,37.540001
278,86.339996,37.990002
279,86.889999,38.07
280,86.510002,38.099998
281,86.580002,38.02
282,86.050003,37.27
283,86.980003,37.130001
284,87.580002,36.970001
285,87.779999,37.450001
286,88.160004,37.290001
287,89,37.75
288,88.870003,35.509998
289,88.230003,35.43
290,89.25,35.150002
291,88.43,35.259998
292,88.269997,35.099998
293,88.720001,34.919998
294,88.330002,34.810001
295,88.449997,34.740002
296,88.959999,34.869999
297,89.400002,34.52
298,89.379997,34.599998
299,89.989998,33.93
300,90.360001,33.610001
301,91.410004,34.689999
302,91.400002,34.740002
303,91.25,34.75
304,90.099998,34.5
305,90.370003,34.610001
306,90.230003,34.48
307,89.849998,34.91
308,90.879997,34.84
309,91,35.02
310,91.889999,34.950001
311,91.879997,34.98
312,91.68,35.48
313,91.529999,35.200001
314,91.669998,35.439999
315,92.129997,35.509998
316,92.480003,35.310001
317,92.099998,34.700001
318,92.07,33.759998
319,91.879997,34.16
320,90.650002,34.389999
321,90.540001,34.720001
322,91.18,35.5
323,91.239998,35.700001
324,91.720001,35.759998
325,91.050003,35.970001
326,90.470001,36.799999
327,90.150002,36.549999
328,89.610001,36.790001
329,90.220001,36.310001
330,91.199997,36.889999
331,90.18,37.209999
332,91.07,36.98
333,91.889999,36.93
334,89.050003,36.970001
335,88.309998,37.07
336,88.339996,36.630001
337,87.730003,36.66
338,86.860001,36.27
339,86.949997,36.599998
340,86.339996,36.41
341,85.849998,36.349998
342,84.25,36.48
343,81.059998,36.610001
344,82.379997,36.540001
345,81.839996,36.950001
346,80.220001,36.709999
347,79.919998,36.790001
348,81.330002,36.799999
349,81.5,36.759998
350,80.68,36.57
351,82.410004,36.939999
352,82.599998,36.77
353,81.339996,37.619999
354,80.239998,37.799999
355,80.839996,37.560001
356,81.050003,37.98
357,81.629997,37.419998
358,80.540001,36.82
359,78.519997,36.52
360,78.699997,36.68
361,79.5,36.52
362,80.290001,36.27
363,80.019997,36.349998
364,79.160004,36.380001
365,79.970001,35.459999
366,80.290001,35.34
367,79.860001,35.799999
368,79.720001,35.93
369,79,36.049999
370,78.669998,36.41
371,78.970001,36.48
372,78.660004,36.52
373,78.309998,36.07
374,77.040001,36.18
375,76.410004,36.529999
376,75.910004,36.509998
377,76.410004,36.200001
378,77.790001,35.93
379,78.839996,35.91
380,79.279999,35.900002
381,77.400002,35.57
382,78.459999,35.799999
383,79.050003,35.619999
384,78.800003,35.82
385,78.43,35.91
386,78.160004,35.16
387,78.370003,35.18
388,78.269997,35.099998
389,77.790001,35.139999
390,78.370003,35.27
391,78.610001,35.43
392,78.43,35.040001
393,78.199997,35.369999
394,74.949997,35.27
395,73.800003,35.16
396,73,35.389999
397,72.5,35.599998
398,72.300003,35.57
399,72.75,35.75
400,72.809998,36.07
401,72.339996,36.16
402,71.959999,36.279999
403,70.940002,36.220001
404,71.360001,36.029999
405,72.43,36.029999
406,71.980003,35.799999
407,71.440002,35.740002
408,72.370003,35.630001
409,73.150002,35.25
410,73.370003,35.48
411,73.279999,35.77
412,72.949997,35.91
413,73.529999,36.18
414,73.959999,36.32
415,73.449997,36.75
416,74.059998,36.869999
417,74.029999,36.93
418,74.18,37.43
419,73.769997,36.150002
420,74.309998,36.310001
421,74.050003,36.970001
422,74.889999,36.98
423,73.169998,36.849998
424,73.449997,36.82
425,74.18,36.540001
426,73.970001,36.369999
427,74.349998,36.009998
428,75.760002,35.689999
429,77.18,35.529999
430,77.529999,35.630001
431,77.239998,35.82
432,76.470001,35.040001
433,75.989998,35.220001
434,77.379997,35.400002
435,75.839996,35.77
436,76.330002,35.860001
437,75.849998,36.119999
438,76.440002,36.259998
439,77.43,36.259998
440,77.790001,36.18
441,78,36.110001
442,77.690002,36.119999
443,78.050003,36.32
444,78.059998,36.34
445,78.129997,36.130001
446,77.900002,36.259998
447,79.209999,36.48
448,79.309998,35.709999
449,77.860001,35.73
450,79.82,35.880001
451,79.160004,35.529999
452,78.889999,35.310001
453,79.309998,35.209999
454,79.529999,35.509998
455,80.029999,34.860001
456,79.720001,34.580002
457,78.730003,34.360001
458,78.68,34.189999
459,78.510002,34.07
460,78.989998,33.650002
461,79.470001,34.200001
462,80.089996,33.540001
463,80.580002,33.740002
464,80.199997,33.459999
465,80.879997,34.34
466,80.650002,33.630001
467,82,33.880001
468,82.330002,33.650002
469,82.519997,33.919998
470,82.639999,34.25
471,82.349998,34.240002
472,81.400002,34.68
473,81.43,34.470001
474,81.519997,34.529999
475,81.309998,34.560001
476,82.300003,34.75
477,83.690002,34.73
478,83.690002,34.5
479,83.639999,34.669998
480,83.900002,34.75
481,83.389999,34.970001
482,83.239998,35.310001
483,83.360001,35.470001
484,83.440002,36.349998
485,83.480003,36.639999
486,83.489998,36.490002
487,83.410004,36.299999
488,82.949997,36.43
489,82.699997,36.41
490,83.290001,36.59
491,82.650002,36.139999
492,81.910004,35.869999
493,82.379997,36.34
494,82.010002,36
495,83.110001,35.810001
496,83.449997,35.169998
497,83.610001,35.009998
498,84.25,34.919998
499,84,34.650002
500,84,34.66
501,85.360001,34.709999
502,85.82,34.669998
503,84.269997,34.650002
504,83.120003,34.73
505,83.260002,34.889999
506,82.860001,35.07
507,83.230003,35.09
508,83.669998,35.02
509,84.360001,35.759998
510,83.029999,35.540001
511,81.919998,35.189999
512,82.150002,35.77
513,82.400002,36.09
514,82.199997,36.330002
515,81.440002,36.48
516,78.870003,37
517,79.059998,37
518,80.129997,37.23
519,81.010002,37.07
520,81.860001,37.200001
521,80.239998,37.18
522,87.300003,37.16
523,86.599998,37.470001
524,87.160004,37.540001
525,89.459999,37.830002
526,89,38.080002
527,87.860001,39.040001
528,88.239998,39.380001
529,89.190002,39.34
530,88.68,39.529999
531,89.589996,39.630001
532,89.809998,39.860001
533,91.199997,39.650002
534,91.510002,39.299999
535,91.290001,39.189999
536,91.360001,39.669998
537,92.410004,39.759998
538,92.699997,39.790001
539,93.470001,40.25
540,93.489998,40.09
541,93.830002,40.43
542,93.82,40.830002
543,93.290001,40.950001
544,92.099998,40.779999
545,91.410004,41.349998
546,91.540001,44.400002
547,91.940002,44.369999
548,92.720001,45.490002
549,93.010002,46.709999
550,92.82,47.099998
551,94.510002,46.34
552,93.32,46.700001
553,93.309998,46.779999
554,93.550003,46.700001
555,92.449997,46.299999
556,93.029999,45.580002
557,93.910004,45.75
558,94.029999,45.860001
559,96.489998,45.459999
560,96.639999,45.650002
561,92.769997,44.630001
562,92.489998,44.619999
563,91.760002,44.939999
564,90.980003,44.650002
565,90.970001,44.75
566,87.360001,44.490002
567,90.089996,44.73
568,92.019997,43.950001
569,91.18,44.84
570,91.919998,44.68
571,91.279999,44.490002
572,90.639999,43.439999
573,92.489998,43.450001
574,92.120003,43.080002
575,92.459999,43.349998
576,90.949997,43.66
577,91.169998,43.330002
578,91.769997,43.34
579,91.150002,43.259998
580,92.010002,44.560001
581,91.370003,46.259998
582,90.639999,47.040001
583,91.419998,47.560001
584,90.440002,46.759998
585,94.839996,46.700001
586,94.300003,46.080002
587,93.599998,46.110001
588,93.519997,46.220001
589,93.540001,46.16
590,94.519997,46.849998
591,96.470001,45.259998
592,97.470001,44.43
593,98.029999,44.740002
594,97.440002,44.740002
595,97.919998,43.619999
596,97.139999,42.5
597,97.709999,43.41
598,98.269997,43.240002
599,99.260002,43.139999
600,99.239998,44.389999
601,98.459999,44.48
602,98.480003,44.82
603,99.989998,45.75
604,99.279999,46.060001
605,99.779999,45.509998
606,100.25,45.299999
607,99.57,50.080002
608,99.830002,49.98
609,98.910004,48.790001
610,98.550003,48.139999
611,98.440002,47.650002
612,98.870003,46.150002
613,99.089996,44.52
614,98.93,44.91
615,98.550003,45.200001
616,98.410004,42.75
617,99.580002,43.950001
618,100.050003,44.830002
619,101.18,44.459999
620,101.32,45.380001
621,102.440002,45.919998
622,101.510002,45.560001
623,101.900002,46.32
624,101.720001,45.939999
625,102.489998,45.799999
626,101.660004,47.73
627,101.959999,49.110001
628,103.019997,49.91
629,102.900002,49.290001
630,103.550003,47.84
631,104.050003,48.98
632,103.639999,49.75
633,103.75,50.709999
634,103.690002,51.32
635,103.43,50.740002
636,103.650002,52.189999
637,104.970001,51.52
638,104.660004,51.779999
639,104.650002,51.860001
640,104.75,50.880001
641,105.059998,51.169998
642,105.730003,50.830002
643,106.419998,51.549999
644,105.849998,51.560001
645,106.050003,50.830002
646,106.010002,49.360001
647,103.160004,52.48
648,103.690002,51.189999
649,103.279999,49.599998
650,105.860001,52.080002
651,104.779999,48.919998
652,106.480003,49.75
653,104.93,49.990002
654,105.559998,50.380001
655,106.080002,48.790001
656,105.68,49.549999
657,104.699997,51.27
658,105.07,51.099998
659,104.239998,52.720001
660,106.010002,51.860001
661,106.110001,52.400002
662,105.599998,53.540001
663,106.699997,53.610001
664,108.110001,52.220001
665,107.449997,51.529999
666,107.330002,51.099998
667,106.370003,51.450001
668,106.720001,51.380001
669,106.760002,53.049999
670,106.690002,52.73
671,104.459999,51.619999
672,104.190002,53.330002
673,105.330002,52.310001
674,102.910004,52.279999
675,103.800003,52.779999
676,104.68,53.330002
677,106.730003,53.630001
678,107.379997,54.34
679,108.769997,54.98
680,108.720001,54.669998
681,109.379997,54.900002
682,109.68,53.919998
683,110.910004,54.639999
684,111.199997,54.810001
685,110.989998,53.5
686,109.599998,54.32
687,110.419998,54.450001
688,111.739998,55.209999
689,111.199997,54.75
690,112.330002,55.439999
691,111.720001,55.32
692,109.730003,55.68
693,109.779999,55.200001
694,109.650002,57.080002
695,110.489998,56.830002
696,111.480003,56.529999
697,114.080002,57.029999
698,113.150002,55.880001
699,114.050003,55.049999
700,112.910004,54.52
701,113.75,54.82
702,114.379997,55.029999
703,114.989998,55.540001
704,115.480003,55.110001
705,115.889999,53.220001
706,115.940002,52.93
707,115.440002,53.459999
708,115.010002,52.189999
709,115.300003,52.5
710,113.849998,50.709999
711,112.599998,49.669998
712,112.769997,48.759998
713,114.730003,49.25
714,116,49.709999
715,120.410004,50.200001
716,118.040001,49.470001
717,116.730003,50.75
718,116.440002,51.369999
719,113.080002,51.860001
720,114.279999,52.16
721,115.519997,51.200001
722,117.440002,52.349998
723,116.779999,52.220001
724,116.029999,52.009998
725,117.25,51.75
726,115.790001,51.720001
727,117.389999,51.98
728,119.18,51.91
729,120.239998,52.310001
730,118.900002,52.18
731,119.199997,52.43
732,119.419998,52.16
733,117.32,47.68
734,119.32,
735,120.550003,
736,121.400002,
737,121.18,
738,120.230003,
739,121.360001,
740,123.209999,
741,122.760002,
742,122.870003,
743,122.169998,
744,119.879997,
745,121.269997,
746,122.769997,
747,122.120003,
748,119.75,
749,121.160004,
750,121.410004,
751,121.900002,
752,122.239998,
